  LD GT CB CE LO PL GH
577 3136 3244 22433 20006 1 1 614 
578 3092 3221 22320 20206 1 0 597 
579 3048 3264 22332 20129 1 1 629 
580 3069 3280 22366 20116 1 0 604 
581 3084 3239 22279 20169 1 1 634 
582 3117 3240 22204 20271 1 1 591 
583 3171 3263 22252 20150 0 1 595 
584 3083 3308 22352 20073 1 0 620 
585 3090 3317 22285 20151 1 1 586 
586 3043 3211 22357 20194 1 1 616 
587 3126 3304 22327 20080 1 0 607 
588 3118 3206 22519 20000 2 1 581 
589 3146 3271 22360 20115 2 1 571 
590 3093 3197 22380 20132 1 0 615 
591 3126 3254 22310 20132 1 1 603 
592 3075 3262 22443 20050 1 1 603 
593 3094 3256 22393 20087 1 0 590 
594 3101 3198 22423 20080 2 0 604 
595 3040 3273 22396 20100 1 1 597 
596 3084 3260 22252 20211 1 0 600 
597 3042 3265 22353 20162 0 0 600 
598 3088 3241 22257 20253 2 0 595 
599 3089 3232 22416 20083 2 0 578 
600 3058 3321 22394 20093 1 1 555 
601 3113 3212 22369 20173 2 1 577 
602 3105 3292 22384 20025 0 1 610 
603 3097 3186 22269 20247 2 1 618 
604 3183 3252 22335 20045 2 1 591 
605 3132 3256 22326 20131 0 0 589 
606 3145 3223 22321 20124 1 1 612 
607 3088 3264 22354 20082 2 0 623 
608 3090 3222 22434 20037 2 1 628 
609 3102 3194 22342 20164 0 1 640 
610 3074 3297 22459 20021 1 0 600 
611 3103 3282 22258 20169 0 0 609 
612 3117 3226 22407 20116 1 1 579 
613 3104 3241 22313 20192 1 1 612 
614 3098 3208 22357 20137 1 1 622 
615 3094 3238 22427 20103 1 1 590 
616 3101 3244 22536 19966 1 1 599 
617 3086 3246 22327 20164 1 1 609 
618 3074 3266 22339 20148 1 1 582 
619 3165 3277 22358 20055 2 1 587 
620 3035 3237 22371 20199 2 1 598 
621 3073 3252 22345 20144 2 1 615 
622 3113 3292 22325 20116 2 0 583 
623 3016 3233 22400 20186 1 1 583 
624 3146 3289 22276 20126 1 0 597 
625 3152 3232 22353 20069 2 1 602 
626 3118 3216 22393 20091 1 1 602 
627 3079 3236 22359 20155 2 1 603 
628 3094 3255 22433 20010 1 1 646 
629 3085 3220 22264 20228 1 1 589 
630 3115 3222 22434 20107 1 1 570 
631 3139 3262 22261 20177 2 1 612 
632 3185 3237 22236 20180 2 1 608 
633 3066 3254 22244 20299 0 0 596 
634 3125 3294 22355 20057 1 1 615 
635 3110 3274 22277 20160 2 0 594 
636 3102 3256 22241 20221 2 0 596 
637 3057 3220 22388 20149 0 0 606 
638 3122 3231 22220 20295 1 1 585 
639 3151 3242 22352 20091 2 1 584 
640 3115 3203 22528 19981 0 1 610 
641 3101 3261 22256 20205 2 0 606 
642 3092 3224 22237 20296 1 1 595 
643 3131 3251 22294 20102 1 1 615 
644 3044 3234 22345 20184 1 0 606 
645 3080 3241 22339 20170 2 1 593 
646 3116 3353 22111 20261 0 0 589 
647 3085 3245 22267 20239 2 1 596 
648 3092 3280 22426 20029 2 1 628 
649 3097 3243 22325 20138 2 1 620 
650 3087 3246 22327 20172 1 1 582 
651 3062 3281 22354 20122 1 1 598 
652 3131 3235 22220 20208 1 0 617 
653 3116 3258 22327 20132 2 0 602 
654 3117 3175 22481 20047 2 1 610 
655 3052 3243 22560 20011 1 0 583 
656 3052 3261 22290 20202 2 1 607 
657 3164 3262 22336 20023 0 1 623 
658 3101 3317 22276 20106 0 0 634 
659 3145 3249 22304 20090 1 0 592 
660 3141 3196 22366 20118 2 0 620 
661 3111 3238 22489 19978 2 0 608 
